date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,roc_10,roc_20,macd_diff,macd_norm,adx,di_plus,di_minus,di_diff,cci,price_to_sma10,price_to_sma20,price_to_sma50,price_to_ema12,price_to_ema26,sma10_to_sma50,bb_pband,bb_wband,atr_pct,daily_range_pct,volatility_20,volatility_10,volatility_5,vol_ratio_5_20,volume_ratio_20,volume_ratio_5,obv_slope,mfi,avg_trade_value,avg_trade_value_ratio,trade_count_ratio,body_ratio,upper_shadow,lower_shadow,gap_pct,ret_1d,ret_2d,ret_3d,ret_5d,ret_10d,ret_20d,ret_zscore,pct_from_52w_high,pct_from_52w_low,up_streak,down_streak,rsi_14_lag1,rsi_14_lag2,rsi_14_lag3,rsi_14_lag5,macd_diff_lag1,macd_diff_lag2,macd_diff_lag3,macd_diff_lag5,volume_ratio_20_lag1,volume_ratio_20_lag2,volume_ratio_20_lag3,volume_ratio_20_lag5,ret_1d_lag1,ret_1d_lag2,ret_1d_lag3,ret_1d_lag5,adx_lag1,adx_lag2,adx_lag3,adx_lag5,future_return,signal,signal_class
2025-01-11,12130.0,12230.0,11760.0,11960.0,1334280229640,111529309,8460,12130.0,11830.0,48.953752320465306,42.98653560559354,33.57664233576642,45.108298028006054,-66.42335766423358,-1.00418410041841,-2.231404958677686,-64.15749642505023,0.00929529044496354,23.970466435279423,22.180350594659544,22.497253815796597,-0.3169032211370535,-59.28303905832011,0.9900410076157,0.9741035036436246,1.0328449946742566,0.9829844598147601,0.9920489359975473,1.0432345597094415,0.2787314973906187,11.703652373013963,0.04373596778174325,0.039729501267962805,0.03137022114202407,0.020763488581730046,0.01788654607165191,0.5701759637164557,0.49365597221544805,0.6562677122916104,-0.020954114702905757,51.54072432590398,157716339.20094562,0.7320959828270442,0.6723730955389714,0.6382978723404256,0.2127659574468085,0.14893617021276595,0.0016515276630883566,-0.023121387283236983,-0.03349673202614378,-0.027138157894736836,-0.029532403609516034,-0.010041841004184149,-0.022314049586776852,-0.7158988487929371,-0.10649546827794562,0.183,0,2,52.49295308104564,54.181731738106556,53.323646163659106,53.832287483747656,-50.54965825945405,-55.886238226214175,-75.91253373695287,-102.35997123645132,0.744367247752224,1.023417622422502,0.6495506867822887,0.8145840319637443,-0.0106209150326797,0.006578947368421018,0.018425460636515956,0.009942004971002394,25.75978607407195,27.156822461935047,28.340701602502083,31.40383115327321,-0.03260869565217395,0,0.0
2025-01-12,11750.0,11840.0,11670.0,11740.0,502473252510,42799627,4121,11960.0,11690.0,47.23877832781706,39.22299597836537,23.357664233576642,36.22751943919826,-76.64233576642336,0.2572898799313894,-10.007698229407236,-79.84528265255642,0.006357072632444261,22.51507994665773,21.63385241999631,23.247356844575513,-1.6135044245792045,-102.47074122236621,0.9780789825970548,0.9677552878844323,1.0179911872790288,0.9756516536209687,0.9817406925557729,1.040806729714196,0.18674120064798166,10.293314084797133,0.042137079831078415,0.01454234388366125,0.02610682863978283,0.019539244611750564,0.01647414987487483,0.6310283835000446,0.2080574525095119,0.2909832098736337,0.046159695473706464,43.83899555851184,121929932.66440184,0.5892950476420007,0.34857116273561967,0.35294117647058826,0.5294117647058824,0.11764705882352941,-0.006762468300929839,-0.011834319526627168,-0.034682080924855474,-0.04493464052287577,-0.020938023450586263,0.002572898799313883,-0.10007698229407236,-0.2643536529781237,-0.11706948640483383,0.169,0,3,48.953752320465306,52.49295308104564,54.181731738106556,50.979312983641776,-64.15749642505023,-50.54965825945405,-55.886238226214175,-96.5220806527804,0.49365597221544805,0.744367247752224,1.023417622422502,0.6373534720070098,-0.023121387283236983,-0.0106209150326797,0.006578947368421018,-0.020508613617719496,23.970466435279423,25.75978607407195,27.156822461935047,29.935189295473965,-0.020442930153321992,0,1.0
2025-01-13,11730.0,11970.0,11700.0,11850.0,928933619640,78420515,5055,11740.0,11850.0,49.41964952510852,45.576184857007085,44.44444444444444,33.79291700459583,-55.55555555555556,3.4031413612565444,-3.2653061224489797,-76.68707765758964,0.0049198830931512895,20.97013829283677,22.672088799066962,22.27391360511278,0.3981751939541809,-68.28293834559138,0.9882411808856643,0.9826278038061279,1.0292891390452368,0.9906810393928648,0.9955333034544446,1.0415363769022306,0.332183767084054,10.351916433837037,0.04028675118703428,0.02278481012658228,0.02332755736354961,0.018878667606935406,0.014915936693292038,0.6394127109338452,0.4106696599641517,0.5957339192298196,-0.0004987049519012965,52.26341113141475,183765305.56676558,0.8894746869990556,0.46693577439289113,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.003421727972626176,0.01368691189050475,0.0016906170752324368,-0.02146985962014869,-0.025493421052631526,0.03403141361256545,-0.03265306122448974,0.6467503300153941,-0.10498489425981873,0.185,1,0,47.23877832781706,48.953752320465306,52.49295308104564,53.323646163659106,-79.84528265255642,-64.15749642505023,-50.54965825945405,-75.91253373695287,0.2080574525095119,0.49365597221544805,0.744367247752224,0.6495506867822887,-0.011834319526627168,-0.023121387283236983,-0.0106209150326797,0.018425460636515956,22.51507994665773,23.970466435279423,25.75978607407195,28.340701602502083,-0.025316455696202556,0,1.0
2025-01-15,11890.0,12030.0,11700.0,11850.0,720211255320,60776005,4997,11850.0,11720.0,47.694634999584046,41.46726190171957,32.407407407407405,33.403172028476156,-67.5925925925926,-0.9298393913778529,-2.3333333333333335,-80.2144659413628,0.002962424051598031,19.68455200579027,22.445488113254687,21.14986462702813,1.2956234862265568,-68.10131066241601,0.9782971619365609,0.9729774604624134,1.015967683212261,0.9828653147730304,0.9857354450319878,1.0385062154336935,0.2461918671277592,10.646837527144555,0.039835287788655714,0.028156996587030716,0.0230161926709378,0.016337836157958342,0.013488302715434108,0.5860353581618034,0.33258601529259496,0.6482915197675531,-0.15142088316039537,55.60875358678127,144128728.3009806,0.7019392769524733,0.487003810656193,0.5151515151515151,0.42424242424242425,0.06060606060606061,0.0033755274261603376,-0.010970464135021119,0.0025662959794696683,-0.009298393913778513,-0.042483660130718914,-0.009298393913778513,-0.023333333333333317,-0.4363082853139066,-0.1148036253776435,0.172,0,1,49.41964952510852,47.23877832781706,48.953752320465306,54.181731738106556,-76.68707765758964,-79.84528265255642,-64.15749642505023,-55.886238226214175,0.4106696599641517,0.2080574525095119,0.49365597221544805,1.023417622422502,0.01368691189050475,-0.011834319526627168,-0.023121387283236983,0.006578947368421018,20.97013829283677,22.51507994665773,23.970466435279423,27.156822461935047,-0.012658227848101222,0,1.0
2025-01-18,11720.0,11750.0,11420.0,11520.0,391528647950,33973034,3915,11850.0,11470.0,44.479257530832555,34.490779731253895,9.25925925925926,28.703703703703695,-90.74074074074075,-4.971002485501243,-8.24,-95.22263771273889,-0.0003569504197761015,18.769793048801098,21.288526397913778,24.433235634350776,-3.1447092364369986,-126.6415290599407,0.962248322147651,0.9563114890778722,0.9921287085892224,0.967571249878237,0.9672371903686203,1.0310526771040567,0.09834465520780138,10.877114294278972,0.03985119222493203,0.02877070619006103,0.021112059386686716,0.01565189593725121,0.014691754243186793,0.6958939426085277,0.20526019955530334,0.5186746662557131,-0.09055372579877452,59.17884702494858,100007317.48403576,0.5091915532003288,0.4073118458561352,0.7575757575757576,0.09090909090909091,0.15151515151515152,0.0,-0.021331058020477855,-0.03206751054852319,-0.018819503849443975,-0.05284888521882747,-0.049710024855012414,-0.08240000000000003,-0.8172041814495156,-0.1336858006042296,0.147,0,2,47.694634999584046,49.41964952510852,47.23877832781706,52.49295308104564,-80.2144659413628,-76.68707765758964,-79.84528265255642,-50.54965825945405,0.33258601529259496,0.4106696599641517,0.2080574525095119,0.744367247752224,-0.010970464135021119,0.01368691189050475,-0.011834319526627168,-0.0106209150326797,19.68455200579027,20.97013829283677,22.51507994665773,25.75978607407195,0.0026041666666667407,0,2.0
2025-01-19,11500.0,11660.0,11450.0,11570.0,936461512850,80951646,5118,11520.0,11610.0,46.64837367952413,40.97828562891056,22.22222222222222,21.296296296296287,-77.77777777777777,-4.7579983593109105,-9.225957779515246,-91.53406844852569,-0.00200595772288976,17.920374017311154,20.562171371180465,23.5995845309043,-3.037413159723833,-113.00639658848618,0.9787556904400607,0.9727691663175534,1.0018120631633445,0.9824977926044486,0.98056524653476,1.0235568211234791,0.21016319014990723,9.395229576440174,0.037850444645377235,0.01808785529715762,0.020498633315973635,0.015905928285383036,0.015693673390587415,0.7655960838305285,0.527350289095107,1.3631857154971483,0.012308312108923136,63.920464708223925,182974113.49159828,0.9426335687980616,0.5708231095248717,0.5238095238095238,0.23809523809523808,0.23809523809523808,0.0026155187445510027,0.012205754141237923,-0.009385665529010212,-0.020253164556962022,-0.018596787827557026,-0.04757998359310911,-0.09225957779515248,0.8212089550245926,-0.12311178247734139,0.161,1,0,44.479257530832555,47.694634999584046,49.41964952510852,48.953752320465306,-95.22263771273889,-80.2144659413628,-76.68707765758964,-64.15749642505023,0.20526019955530334,0.33258601529259496,0.4106696599641517,0.49365597221544805,-0.021331058020477855,-0.010970464135021119,0.01368691189050475,-0.023121387283236983,18.769793048801098,19.68455200579027,20.97013829283677,23.970466435279423,-0.006050129645635227,0,2.0
2025-01-20,11640.0,11700.0,11310.0,11500.0,563212830260,48990309,4519,11570.0,11420.0,44.12861972958468,35.42381116548765,9.649122807017545,13.710201429499667,-90.35087719298245,-4.355108877721943,-6.927465362673186,-97.1713094175708,-0.004660178413851832,17.481194068592163,19.24865998248003,24.38517120533133,-5.136511222851297,-126.1643674095037,0.9669771380186283,0.960269077149464,0.9835331404161498,0.9714377611430073,0.9670598105099673,1.0171214000275595,0.09346621657098071,9.77309253745527,0.03817092575886156,0.03415061295971979,0.01890957294408349,0.01549853283670294,0.016399431487147127,0.8672555184424856,0.3451006378858706,0.8081235377967784,0.009034897750169302,64.51975914835623,124632181.956185,0.6594478123381653,0.5366473494204826,0.5641025641025641,0.15384615384615385,0.28205128205128205,0.002583979328165375,-0.01636520241171402,-0.0043591979075849885,-0.025597269624573427,-0.02309666381522668,-0.04355108877721947,-0.06927465362673191,-0.6849373796346953,-0.13746223564954682,0.142,0,1,46.64837367952413,44.479257530832555,47.694634999584046,47.23877832781706,-91.53406844852569,-95.22263771273889,-80.2144659413628,-79.84528265255642,0.527350289095107,0.20526019955530334,0.33258601529259496,0.2080574525095119,0.012205754141237923,-0.021331058020477855,-0.010970464135021119,-0.011834319526627168,17.920374017311154,18.769793048801098,19.68455200579027,22.51507994665773,-0.006956521739130417,0,1.0
2025-01-21,11420.0,11710.0,11340.0,11550.0,983869286720,85210210,5826,11500.0,11640.0,47.65440250626441,45.41813524010547,28.94736842105263,20.272904483430793,-71.05263157894737,-4.276315789473684,-7.10295291300878,-81.97155884801805,-0.0050268364801236845,17.041239083166154,18.234934131479154,22.8911580144391,-4.656223882959946,-92.5843803892583,0.9899642796393945,0.9824442943956786,1.0000859180341954,0.99165441042905,0.986735647130925,1.0102242460692499,0.2965332006424475,8.62829005014756,0.037045014961711996,0.03178694158075601,0.01878219294233108,0.015637082203956452,0.01805644136483685,0.9613595931144686,0.6494855939474925,1.374796368974417,0.012397094566148681,63.086031550770045,168875607.0580158,0.9237469553387027,0.7221836572788576,0.5945945945945946,0.1891891891891892,0.21621621621621623,0.0,0.019264448336252293,0.0025839793281654533,0.01482127288578905,-0.017721518987341756,-0.042763157894736836,-0.07102952913008775,1.212534114694383,-0.12084592145015106,0.164,1,0,44.12861972958468,46.64837367952413,44.479257530832555,49.41964952510852,-97.1713094175708,-91.53406844852569,-95.22263771273889,-76.68707765758964,0.3451006378858706,0.527350289095107,0.20526019955530334,0.4106696599641517,-0.01636520241171402,0.012205754141237923,-0.021331058020477855,0.01368691189050475,17.481194068592163,17.920374017311154,18.769793048801098,20.97013829283677,-0.010389610389610393,0,1.0
2025-01-22,11660.0,11800.0,11580.0,11700.0,1224994937810,104684750,6976,11550.0,11610.0,47.21683378477559,44.32671518372925,26.31578947368421,21.637426900584785,-73.6842105263158,-5.147058823529411,-5.069501226492233,-70.27596789359413,-0.005545717282309587,16.334059010076814,19.090893462519197,22.027006791840247,-2.9361133293210493,-57.021049826804834,0.9927319367250962,0.9824828636709825,0.9951997256986114,0.9907602421870686,0.9853462805023345,1.0024858563346477,0.2885393456097002,8.283875021348212,0.03584134160210569,0.018949181739879414,0.018156027400110047,0.015194296279246504,0.0175647087588441,0.9674312762238747,0.8561006901676008,1.4793924011447175,-0.01229249842475999,60.50394283355909,175601338.5622133,0.9743721358774168,0.9121935272965022,0.22727272727272727,0.6363636363636364,0.13636363636363635,0.001718213058419244,-0.002577319587628857,0.016637478108581405,0.0,-0.009385665529010212,-0.05147058823529416,-0.050695012264922346,-0.007489476943689376,-0.12311178247734139,0.161,0,1,47.65440250626441,44.12861972958468,46.64837367952413,47.694634999584046,-81.97155884801805,-97.1713094175708,-91.53406844852569,-80.2144659413628,0.6494855939474925,0.3451006378858706,0.527350289095107,0.33258601529259496,0.019264448336252293,-0.01636520241171402,0.012205754141237923,-0.010970464135021119,17.041239083166154,17.481194068592163,17.920374017311154,19.68455200579027,-0.03504273504273503,0,0.0
2025-01-25,11650.0,11660.0,11460.0,11550.0,855119537780,74047301,5124,11700.0,11510.0,45.710159397115255,40.53833087491846,18.867924528301888,24.710360807679567,-81.13207547169812,-4.95458298926507,-3.1959629941127,-65.69688182399813,-0.006623015815292599,16.016797885035057,18.41047063643666,23.38041078019919,-4.969940143762528,-86.20824532582283,0.9892565535023635,0.975589082895406,0.984501163268099,0.9849197020873627,0.9785365722412601,0.9951929656493772,0.21534163213618737,8.57551361928442,0.03481155323324942,0.01737619461337967,0.017228776348246225,0.015127332322660721,0.014711267990717609,0.8538777039853511,0.633550020771209,0.9399627859167629,-0.03591750534910898,51.820027131075804,166885155.6947697,0.933600538546705,0.6973468429540614,0.7,0.05,0.25,0.0034453057708871662,-0.008613264427217882,-0.011168384879725046,0.007880910683012221,0.0034873583260679464,-0.04954582989265066,-0.031959629941127,-0.41391710894202954,-0.13066465256797583,0.151,0,2,47.21683378477559,47.65440250626441,44.12861972958468,44.479257530832555,-70.27596789359413,-81.97155884801805,-97.1713094175708,-95.22263771273889,0.8561006901676008,0.6494855939474925,0.3451006378858706,0.20526019955530334,-0.002577319587628857,0.019264448336252293,-0.01636520241171402,-0.021331058020477855,16.334059010076814,17.041239083166154,17.481194068592163,18.769793048801098,-0.027705627705627678,0,1.0
