date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,roc_10,roc_20,macd_diff,macd_norm,adx,di_plus,di_minus,di_diff,cci,price_to_sma10,price_to_sma20,price_to_sma50,price_to_ema12,price_to_ema26,sma10_to_sma50,bb_pband,bb_wband,atr_pct,daily_range_pct,volatility_20,volatility_10,volatility_5,vol_ratio_5_20,volume_ratio_20,volume_ratio_5,obv_slope,mfi,avg_trade_value,avg_trade_value_ratio,trade_count_ratio,body_ratio,upper_shadow,lower_shadow,gap_pct,ret_1d,ret_2d,ret_3d,ret_5d,ret_10d,ret_20d,ret_zscore,pct_from_52w_high,pct_from_52w_low,up_streak,down_streak,rsi_14_lag1,rsi_14_lag2,rsi_14_lag3,rsi_14_lag5,macd_diff_lag1,macd_diff_lag2,macd_diff_lag3,macd_diff_lag5,volume_ratio_20_lag1,volume_ratio_20_lag2,volume_ratio_20_lag3,volume_ratio_20_lag5,ret_1d_lag1,ret_1d_lag2,ret_1d_lag3,ret_1d_lag5,adx_lag1,adx_lag2,adx_lag3,adx_lag5,future_return,signal,signal_class
2018-10-08,11700.0,12003.0,11699.0,11903.0,42125715771,3539214,740,11016.0,11996.0,46.33052980704681,43.35816984604207,29.790061121445657,17.6277792541412,-70.20993887855434,-12.168692341484844,-1.6721311475409835,-277.90509862468747,-0.006666653527777618,29.809373987251718,31.414458149406286,39.44759114199695,-8.033132992590666,-88.19615876183967,0.9483753656415527,0.9405529159022126,1.0007541528460928,0.9697039378417229,0.9634753776656286,1.0552300166180584,0.2602319760878453,24.793583034061058,0.06000273720538504,0.025341780593531177,0.041874702513562914,0.05036323134121523,0.04957276788470072,1.1838357029197868,1.4032074653577091,1.2394020721101389,-0.09537262512164368,39.01150948175412,56926642.933783785,1.6011980600917863,0.7927155865024103,0.9736842105263158,0.023026315789473683,0.003289473684210526,0.051685393258426963,0.07829213483146069,0.04367496084913869,-0.008595041322314034,-0.03281464161896319,-0.12168692341484844,-0.016721311475409784,1.8701390256913601,-0.19866399465597862,0.1996,1,0,38.02650822247307,40.49109558266026,44.932041616827895,47.22752185982257,-315.6191875792755,-264.59899850563386,-203.6766968915855,-87.70142987339324,2.594544972137505,0.34689939002391046,0.46034311553000545,0.7966280805496715,-0.03210370628153825,-0.05008264462809919,-0.009009009009009028,-0.06037878787878792,31.230379841542284,31.676378966421172,32.40644622790136,34.97981243716926,-0.015290262958917888,0,1.0
2018-10-09,12307.0,12360.0,12000.0,12244.0,58328823244,4763750,1386,11903.0,12299.0,48.89588515000433,48.45153931323729,37.842147222960406,24.758614580565155,-62.157852777039594,-8.963730569948186,-5.027027027027027,-222.1661492474624,-0.006486361789890304,28.08382304177857,33.90900266958584,37.971441521298885,-4.062438851713047,-49.503693822503344,0.9817287813600045,0.9667771083153522,1.0234105474776287,0.9950854889833609,0.9887039148960844,1.0424575166879408,0.36712665965465546,25.003429279567907,0.05645817233518049,0.02927067241239125,0.03980749593044302,0.051713174389979494,0.05088515858864632,1.2782808212191914,1.9402689600730627,1.4328540600053261,-0.00023762291901863186,44.06001067502878,42084288.05483405,1.17319944813016,1.5518110059900354,0.022222222222222223,0.14722222222222223,0.8305555555555556,0.02592530843614538,0.025258419473157767,0.10552808988764051,0.07003654080389765,0.007289107289107255,-0.08963730569948192,-0.05027027027027031,0.6804911709846173,-0.17842351369405476,0.2299,2,0,46.33052980704681,38.02650822247307,40.49109558266026,45.77831592713218,-277.90509862468747,-315.6191875792755,-264.59899850563386,-157.1444318539895,1.4032074653577091,2.594544972137505,0.34689939002391046,0.9261925207240904,0.07829213483146069,-0.03210370628153825,-0.05008264462809919,-0.015560751431105357,29.809373987251718,31.230379841542284,31.676378966421172,33.80484069137275,-0.027687030382228084,0,0.0
2018-10-10,12318.0,12320.0,11900.0,12149.0,77319276056,6364473,998,12244.0,12068.0,47.04947148213736,44.86334697420158,31.703428115865,33.111878820090354,-68.296571884135,-17.058419243986254,-3.4482758620689653,-191.62376527240934,-0.008049330543330303,26.58374919315769,32.402330625028554,37.3421878177451,-4.939857192716545,-56.154788861565,0.9827601651506144,0.9502287383563909,1.0022223624809405,0.9799544033262104,0.9722850413701729,1.0198036082662583,0.304111953112,25.408013625285726,0.05591486221030235,0.03480278422273782,0.039265528196117616,0.042182851121326644,0.05161878514888184,1.3146081950321415,2.485048743982043,1.4558949458167794,-0.07300130621079548,38.947920683798785,77474224.50501002,2.018685282747247,1.184710351377018,0.5952380952380952,0.004761904761904762,0.4,0.001544841043987316,-0.018782014797951052,0.006002000666889051,0.08476404494382028,-0.0026446280991735405,-0.17058419243986256,-0.03448275862068961,-0.45215224570968277,-0.19385437541750167,0.2068,0,1,48.89588515000433,46.33052980704681,38.02650822247307,44.932041616827895,-222.1661492474624,-277.90509862468747,-315.6191875792755,-203.6766968915855,1.9402689600730627,1.4032074653577091,2.594544972137505,0.46034311553000545,0.025258419473157767,0.07829213483146069,-0.03210370628153825,-0.009009009009009028,28.08382304177857,29.809373987251718,31.230379841542284,32.40644622790136,-0.015227590748209674,0,1.0
2018-10-13,12100.0,12100.0,11620.0,11852.0,12034267427,1015381,460,12149.0,11750.0,44.555139120230386,40.09448547257234,23.25272389051289,30.932766409779436,-76.74727610948712,-15.479787080995541,-4.378255208333334,-183.59057001929537,-0.011489682404137868,25.48111333597851,30.722238117741473,38.430599225808166,-7.708361108066693,-78.30525295966342,0.9739317833312612,0.9271533630022409,0.9742919592306493,0.9609127395849203,0.9504195543742411,1.0003698163521846,0.22148301024571787,26.15518610266005,0.05624405618845637,0.04085106382978723,0.03952299664248435,0.04128165421859441,0.04665546468370517,1.1804637463535328,0.400039579208324,0.2297024955423897,-0.07722744453146013,36.23760608937199,26161450.92826087,0.6753596422019202,0.5625535037299743,0.7291666666666666,0.0,0.2708333333333333,0.002651640702684786,-0.026350679482930017,-0.04463777542889669,-0.02050683561187061,0.02227248999477993,-0.15479787080995544,-0.04378255208333337,-0.6287275029741765,-0.21509686038744155,0.175,0,2,47.04947148213736,48.89588515000433,46.33052980704681,40.49109558266026,-191.62376527240934,-222.1661492474624,-277.90509862468747,-264.59899850563386,2.485048743982043,1.9402689600730627,1.4032074653577091,0.34689939002391046,-0.018782014797951052,0.025258419473157767,0.07829213483146069,-0.05008264462809919,26.58374919315769,28.08382304177857,29.809373987251718,31.676378966421172,-0.020840364495443797,0,1.0
2018-10-14,11619.0,12000.0,11301.0,11461.0,4965731409,433290,377,11852.0,11410.0,41.99183071558658,35.400602290854906,14.217379750199308,23.057843918859067,-85.78262024980069,-13.560606060606062,-8.346051891718211,-191.07236010939897,-0.016674289953205374,24.780476243741393,28.41188867703882,38.972500979880266,-10.560612302841445,-93.38050877821554,0.9599932691094191,0.9040309002674062,0.9453001763013826,0.9428101945232887,0.9282179670956192,0.9846945876801124,0.15294089204358383,27.652090820404478,0.05815875536989301,0.06126205083260298,0.03982217757348162,0.03981212317346329,0.046038669777677864,1.156106285065032,0.17294973397138477,0.1344276173875231,0.007564878306495215,32.66568409894863,13171701.350132626,0.3439609207016536,0.46774193548387094,0.2989985693848355,0.5450643776824035,0.15593705293276108,-0.011148936170212766,-0.028936170212765955,-0.054524361948955935,-0.07228229937393282,0.025617977528089808,-0.13560606060606062,-0.08346051891718209,-0.6361471942224938,-0.23780895123580495,0.141,0,3,44.555139120230386,47.04947148213736,48.89588515000433,38.02650822247307,-183.59057001929537,-191.62376527240934,-222.1661492474624,-315.6191875792755,0.400039579208324,2.485048743982043,1.9402689600730627,2.594544972137505,-0.026350679482930017,-0.018782014797951052,0.025258419473157767,-0.03210370628153825,25.48111333597851,26.58374919315769,28.08382304177857,31.230379841542284,-0.007590960649157985,0,1.0
2018-10-15,11431.0,11998.0,11430.0,11721.0,5218884338,445254,407,11461.0,11730.0,45.18803252785163,42.75884143827377,22.721233058729737,20.06377889981398,-77.27876694127026,-5.426106587116021,-8.388003748828492,-165.33128395950865,-0.017548626871786887,24.129884658092642,26.599766485568754,36.48681850077763,-9.887052015208877,-72.33366326220411,0.9925369345585622,0.9333561434010608,0.9702040654279815,0.9738586714703776,0.9574951912048224,0.9774992059710974,0.26537448283838905,28.404351498151296,0.056111851077921264,0.048422847399829494,0.03980232673281431,0.03809125771179732,0.028384548353645137,0.7131379163882902,0.18531478529003803,0.17096027475651482,-0.038134420353852616,35.334654509480856,12822811.641277641,0.3491763995805235,0.5151572685273085,0.5264084507042254,0.47183098591549294,0.0017605633802816902,0.0018404907975460123,0.028045574057844025,-0.0017021276595744483,-0.028007954922108058,-0.022174058019339804,-0.0542610658711602,-0.08388003748828488,0.7957453488549797,-0.21643286573146292,0.173,1,0,41.99183071558658,44.555139120230386,47.04947148213736,46.33052980704681,-191.07236010939897,-183.59057001929537,-191.62376527240934,-277.90509862468747,0.17294973397138477,0.400039579208324,2.485048743982043,1.4032074653577091,-0.028936170212765955,-0.026350679482930017,-0.018782014797951052,0.07829213483146069,24.780476243741393,25.48111333597851,26.58374919315769,29.809373987251718,-0.004521798481358252,0,1.0
2018-10-16,11890.0,12000.0,11808.0,11905.0,7865402520,660656,356,11721.0,11854.0,46.4200135657904,45.562113090011856,30.834645669291337,22.591086159406796,-69.16535433070867,-2.9156429156429153,-7.281971059835746,-132.24758730019346,-0.017363218607372475,23.522705263649677,25.80911575089256,35.37121847244297,-9.56210272155041,-53.0365485023356,1.0060597830699505,0.9467294944493251,0.9781900101499386,0.986558664012289,0.9699436898560184,0.9722980946172318,0.3155586006524524,28.882076225357565,0.05318576111060891,0.01619706428209887,0.03992757062437648,0.03817664994050471,0.02515630217304474,0.6300484046401356,0.27740816252405753,0.37036214827267555,-0.09181427940255538,28.921947834504834,22093827.303370785,0.602137604626465,0.4579367121173141,0.1875,0.5729166666666666,0.23958333333333334,0.013640238704177323,0.010571184995737504,0.03891323400525848,0.008851063829787176,-0.03618180339865029,-0.02915642915642913,-0.07281971059835746,0.34050086902014803,-0.2081496325985304,0.1854,2,0,45.18803252785163,41.99183071558658,44.555139120230386,48.89588515000433,-165.33128395950865,-191.07236010939897,-183.59057001929537,-222.1661492474624,0.18531478529003803,0.17294973397138477,0.400039579208324,1.9402689600730627,0.028045574057844025,-0.028936170212765955,-0.026350679482930017,0.025258419473157767,24.129884658092642,24.780476243741393,25.48111333597851,28.08382304177857,-0.025955480890382243,0,1.0
2018-10-17,12100.0,12100.0,11833.0,11964.0,5041604312,421397,195,11905.0,11901.0,46.90712211847694,46.716034602404264,37.65137614678899,30.402418291603357,-62.34862385321101,-1.6446280991735538,-9.291158536585366,-100.9085215144313,-0.016781082090970425,22.797478587996977,26.176307985322783,34.25579755577622,-8.079489570453436,-44.35353953788094,1.0117575046545435,0.9551326038017505,0.9795658336392504,0.9919245484956046,0.9756837391747275,0.9681824242793389,0.34517856761970983,28.980093717283985,0.05079424393308518,0.022435089488278295,0.039376672724118066,0.03814412270310379,0.02456318674951838,0.6238004648491674,0.18099548871760626,0.7079975053579025,0.0011791677072756634,32.98948020193343,25854381.087179486,0.7019860384057685,0.2616747181964573,0.7453183520599251,0.0,0.2546816479400749,0.020752488611439177,0.003964906360722109,0.014578005115089443,0.04303242769500448,-0.013838249917136225,-0.016446280991735507,-0.09291158536585364,0.20573037383474627,-0.20501002004008015,0.1901,3,0,46.4200135657904,45.18803252785163,41.99183071558658,47.04947148213736,-132.24758730019346,-165.33128395950865,-191.07236010939897,-191.62376527240934,0.27740816252405753,0.18531478529003803,0.17294973397138477,2.485048743982043,0.010571184995737504,0.028045574057844025,-0.028936170212765955,-0.018782014797951052,23.522705263649677,24.129884658092642,24.780476243741393,26.58374919315769,-0.038783015713808044,0,0.0
2018-10-20,11839.0,11840.0,11534.0,11605.0,6275142097,540717,385,11964.0,11549.0,43.70262305529612,39.41579808963123,34.12658227848101,34.20420136485378,-65.87341772151899,0.47851052723159915,-10.756510316049765,-97.53905910596067,-0.019112214073310117,22.49040967587369,25.008899537394306,36.361513958208405,-11.352614420814099,-65.29833835488803,0.9813735320609779,0.9320888264752288,0.9485379751929682,0.9681587665241531,0.9505697493545536,0.9665412243194986,0.27047824293520983,29.58812026940041,0.05087348231522462,0.026495800502207983,0.039738686746573264,0.035685015972031435,0.025374107133120664,0.6385240482389297,0.2354882531225329,1.0808658968845974,0.008425161194971276,36.00465823705746,16299070.38181818,0.44873714743227433,0.5235246124558064,0.9477124183006536,0.0032679738562091504,0.049019607843137254,-0.005209646248214436,-0.02957734644147547,-0.02572971148979253,-0.015430520034100614,-0.017106382978723356,0.004785105272316015,-0.10756510316049761,-0.6201657511113909,-0.2285237140948564,0.1549,0,1,46.90712211847694,46.4200135657904,45.18803252785163,44.555139120230386,-100.9085215144313,-132.24758730019346,-165.33128395950865,-183.59057001929537,0.18099548871760626,0.27740816252405753,0.18531478529003803,0.400039579208324,0.003964906360722109,0.010571184995737504,0.028045574057844025,-0.026350679482930017,22.797478587996977,23.522705263649677,24.129884658092642,25.48111333597851,0.01714778112882387,0,2.0
2018-10-21,11542.0,11560.0,11285.0,11374.0,11868558109,1043437,466,11605.0,11361.0,42.050316966387896,35.918364417701454,28.17391304347826,33.31729048958275,-71.82608695652173,2.121348314606742,-13.274809160305342,-101.18862690841365,-0.02197638278868189,22.498797369670257,24.14012850735703,38.24378142084004,-14.103652913483007,-80.6246936723631,0.9634661374853712,0.9233957816881375,0.9317778823930806,0.9594247713026431,0.939613319470967,0.9671101517122371,0.24595944248202198,30.154326167561386,0.04975034902838582,0.02420561570284306,0.03960032134569662,0.034378965566364196,0.0226477842106306,0.5719091017702498,0.4560663569191061,1.6767637453916344,-0.0008713646999487512,37.442865208735746,25469008.817596566,0.704356726634516,0.6372213865718583,0.6581818181818182,0.06545454545454546,0.27636363636363637,-0.0006061130833838427,-0.016278465668023157,-0.045374338290899874,-0.041589336932680965,-0.004294478527607337,0.021213483146067524,-0.13274809160305345,-0.2504384197274856,-0.2410821643286573,0.1361,0,2,43.70262305529612,46.90712211847694,46.4200135657904,41.99183071558658,-97.53905910596067,-100.9085215144313,-132.24758730019346,-191.07236010939897,0.2354882531225329,0.18099548871760626,0.27740816252405753,0.17294973397138477,-0.02957734644147547,0.003964906360722109,0.010571184995737504,-0.028936170212765955,22.49040967587369,22.797478587996977,23.522705263649677,24.780476243741393,0.06892913662739586,1,4.0
